"PassengerId","TFC_Survived","ada","rf","ksvm","glm","nnet"
543,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
555,"(0,1]","(0,1]","(0,1]","[0,0]","(0,1]","[0,0]"
168,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
488,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
375,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
300,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
428,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
82,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
381,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
404,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
263,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
409,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
542,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
146,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
582,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
541,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
562,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
71,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
268,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
317,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
513,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
586,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
560,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
536,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
51,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
286,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
217,"(0,1]","(0,1]","(0,1]","[0,0]","(0,1]","[0,0]"
506,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
247,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
462,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
583,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
444,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
213,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
377,"(0,1]","(0,1]","(0,1]","[0,0]","(0,1]","[0,0]"
2,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
453,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
4,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
116,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
493,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
329,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
206,"[0,0]","[0,0]","[0,0]","(0,1]","(0,1]","[0,0]"
233,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
19,"[0,0]","[0,0]","[0,0]","[0,0]","(0,1]","[0,0]"
524,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
229,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
570,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
474,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
339,"(0,1]","(0,1]","(0,1]","[0,0]","[0,0]","[0,0]"
516,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
326,"(0,1]","(0,1]","(0,1]","(0,1]","(0,1]","(0,1]"
175,"[0,0]","[0,0]","[0,0]","[0,0]","[0,0]","[0,0]"
